id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
starshade.S19.Q3,starshade,1226,Is NASA going to move the Hubble to orbit Mars?,"[1118, 1153]",there is a small telescope orbiting Mars,"[1255.0, 1289.0]",3.0,['Explicit:Contingency.Cause.Reason'],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Explicit:Contingency.Cause.Reason']"
starshade.S1.Q3,starshade,142,what else is the universe teaming with?,"[108, 132]",what else do astronomers think is out there?,"[472.0, 514.0]",4.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['NoRel:nan']
starshade.S5.Q3,starshade,448,What is the technology going to entail?,"[382, 392]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S113.Q3,starshade,5791,What are the petals' purpose?,"[5543, 5565]",,,2.0,['EntRel:nan'],[],[]
starshade.S118.Q3,starshade,6014,What are they sending to space?,"[5985, 6012]",Something to do with taking pictures in space,"[6058.0, 6099.0]",3.0,[],[],['EntRel:nan']
starshade.S120.Q3,starshade,6139,Are we doing something with the Hubble?,"[6115, 6137]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S122.Q3,starshade,6354,What's an occulter?,"[6216, 6231]",Some sort of shade for telescopes,"[6433.0, 6462.0]",3.0,['Implicit:Contingency.Cause.Reason'],[],['Implicit:Contingency.Cause.Reason']
starshade.S124.Q3,starshade,6603,What's the blue dot?,"[6588, 6601]",It's Earth,"[6610.0, 6615.0]",5.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S102.Q3,starshade,5262,Has this been published?,"[5241, 5260]",What will you do now?,"[5297.0, 5320.0]",3.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S104.Q3,starshade,5399,What will you do next?,"[5297, 5319]",,,1.0,['NoRel:nan'],[],[]
starshade.S106.Q3,starshade,5457,Are there others?,"[5412, 5423]",,,1.0,['EntRel:nan'],[],[]
starshade.S108.Q3,starshade,5537,Are there others?,"[5489, 5505]",,,1.0,"['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']",[],[]
starshade.S112.Q3,starshade,5652,Are there other petals?,"[5560, 5614]",,,1.0,['EntRel:nan'],[],[]
starshade.S12.Q1,starshade,1012,Can a earth -like planet be taken for another star?,"[948, 984]",Yes it can ,"[1114.0, 1153.0]",3.0,['Implicit:Expansion.Conjunction'],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'AltLex:Contingency.Condition.Arg2-as-cond', 'Explicit:Expansion.Conjunction', 'Implicit:Temporal.Asynchronous.Precedence']"
starshade.S16.Q1,starshade,1155,Hubble space telescope can be used for what ?,"[1069, 1113]",It can be turned around and move around the orbit of Mars ,"[1186.0, 1224.0]",5.0,[],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason']"
starshade.S97.Q3,starshade,5212,Is this for an exhibition?,"[5144, 5151]",,,1.0,['NoRel:nan'],[],[]
starshade.S20.Q1,starshade,1291,Why is a slightly blurry picture of the earth ?,"[1242, 1254]",It is because we are a fairly small telescope out at the orbit of Mars,"[1342.0, 1364.0]",4.0,['AltLex:Temporal.Asynchronous.Precedence'],['AltLex:Temporal.Asynchronous.Precedence'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Contingency.Cause.Result']"
starshade.S8.Q1,starshade,695,Did all the Earth-like planet has speculate ?,"[658, 693]",About one fifth of them have an Earth-like planet ,"[775.0, 793.0]",5.0,['NoRel:nan'],['NoRel:nan'],['EntRel:nan']
starshade.S10.Q1,starshade,922,When was Voyager spacecraft taken ?,"[786, 793]",It was taken in 1990,"[948.0, 984.0]",5.0,['Implicit:Comparison.Similarity'],['Implicit:Comparison.Similarity'],['Implicit:Comparison.Similarity']
starshade.S128.Q3,starshade,6812,What's the science field?,"[6748, 6776]",,,2.0,['Explicit:Contingency.Cause.Reason'],[],[]
starshade.S78.Q3,starshade,4239,What optimal solutions are there,"[4115, 4151]",,,1.0,['EntRel:nan'],[],[]
starshade.S85.Q3,starshade,4378,What is the shadow for?,"[4357, 4376]",make planets easier to see,"[4437.0, 4459.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
starshade.S87.Q3,starshade,4534,why does it have to be bigger than a thumb?,"[4502, 4532]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
starshade.S89.Q3,starshade,4728,How expensive is the telescope?,"[4642, 4651]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S91.Q3,starshade,4910,what is JPL?,"[4796, 4802]",,,1.0,['Implicit:Temporal.Asynchronous.Precedence'],[],[]
starshade.S93.Q4,starshade,5004,What separates from the telescope,"[4910, 4922]",,,1.0,['Explicit:Temporal.Asynchronous.Precedence'],[],[]
starshade.S126.Q3,starshade,6732,How good are the chances of finding an Earth-like planet?,"[6642, 6673]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S99.Q4,starshade,5172,How long does this take?,"[5088, 5127]",,,1.0,['AltLex:Contingency.Cause.Result'],['AltLex:Contingency.Cause.Result'],[]
starshade.S88.Q1,starshade,4693,How do you make the starshade fly?,"[4596, 4651]",good design,"[4804.0, 4834.0]",3.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']","['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']","['EntRel:nan', 'Explicit:Comparison.Concession.Arg2-as-denier']"
starshade.S90.Q1,starshade,4878,It looks like what?,"[4858, 4876]",wrapped and separated later,"[4888.0, 4941.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Implicit:Temporal.Asynchronous.Precedence']"
starshade.S92.Q1,starshade,4943,What happens after separation?,"[4910, 4941]",petals unfurl and open,"[4943.0, 4974.0]",4.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],"['Implicit:Temporal.Asynchronous.Precedence', 'Implicit:Expansion.Equivalence']"
starshade.S5.Q4,starshade,448,How will this technology work?,"[382, 426]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S7.Q4,starshade,658,Why aren't we able to detect them?,"[625, 656]","We can detect them, but indirectly.","[658.0, 693.0]",3.0,['Implicit:Expansion.Substitution.Arg2-as-subst'],['Implicit:Expansion.Substitution.Arg2-as-subst'],['Implicit:Expansion.Substitution.Arg2-as-subst']
starshade.S9.Q4,starshade,747,What is the pale blue dot?,"[695, 745]",The pale blue dot is how the Earth looks from the furthest bounds of the solar system.,"[865.0, 920.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Temporal.Synchronous', 'Explicit:Temporal.Synchronous']"
starshade.S11.Q4,starshade,986,How will that be possible?,"[945, 984]",,,2.0,['Implicit:Comparison.Concession.Arg2-as-denier'],['Implicit:Comparison.Concession.Arg2-as-denier'],[]
starshade.S13.Q4,starshade,1030,"Yes, what exactly are the challenges in accomplishing such a feat?","[1012, 1029]",,,2.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],[]
starshade.S81.Q1,starshade,4346,How do you control petals?,"[4242, 4289]",,,1.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[]
starshade.S86.Q1,starshade,4485,Which planets can you see?,"[4437, 4459]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S57.Q1,starshade,3062,What happened next?,"[3045, 3061]","After telescope in the shadow, the light's has been removed","[3191.0, 3223.0]",5.0,[],[],"['AltLex:Hypophora', 'EntRel:nan', 'Explicit:Contingency.Condition.Arg1-as-cond']"
starshade.S59.Q1,starshade,3249,How dim?,"[3228, 3247]",Fine structure implied how dim,"[3249.0, 3277.0]",3.0,[],[],"['AltLex:Hypophora', 'EntRel:nan', 'Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']"
starshade.S61.Q1,starshade,3325,How can we do this in space?,"[3289, 3323]",block the light and we get to see planets ,"[3403.0, 3433.0]",5.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Implicit:Temporal.Asynchronous.Precedence']"
starshade.S67.Q2,starshade,3524,How far we can see the planets?,"[3501, 3522]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S1.Q4,starshade,142,What is the likelihood one holds advanced lifeforms?,"[120, 140]",a new telescope that's capable of seeing further distances to find another Earth-life planet,"[184.0, 233.0]",3.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction']
starshade.S5.Q5,starshade,448,What other projects are being worked on?,"[367, 392]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S19.Q4,starshade,1226,How far away is that from Earth?,"[1118, 1153]",,,2.0,['Explicit:Contingency.Cause.Reason'],[],[]
starshade.S1.Q5,starshade,142,How many planets are there in the universe?,"[104, 140]",,,2.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S64.Q2,starshade,3435,What is the purpose of doing this in space?,"[3279, 3323]",We could see planets by doing this in space.,"[3501.0, 3522.0]",5.0,['Implicit:Temporal.Asynchronous.Precedence'],[],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'AltLex:Contingency.Cause.Result']"
starshade.S68.Q2,starshade,3566,Did this suggestion actually take place?,"[3534, 3564]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S13.Q5,starshade,1030,When will create a fuel source to power a ship for that length of travel?,"[986, 1011]",,,1.0,['Implicit:Contingency.Cause.Reason'],[],[]
starshade.S7.Q5,starshade,658,Are any advances being made in regards to longer space travel?,"[546, 589]",,,1.0,['Implicit:Expansion.Substitution.Arg2-as-subst'],[],[]
starshade.S60.Q2,starshade,3279,How is the corona involved with Spitzer's suggestion?,"[3231, 3277]","Spitzer suggested that we do this same thing, but in space.","[3279.0, 3323.0]",4.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S9.Q5,starshade,747,How many pale blue dots could there be in our galaxy alone?,"[732, 745]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S11.Q5,starshade,986,Are scientists any closer to having astronauts travel further than the Moon?,"[922, 941]",,,2.0,['Implicit:Comparison.Concession.Arg2-as-denier'],['Implicit:Comparison.Concession.Arg2-as-denier'],[]
starshade.S46.Q1,starshade,2764,What exactly Lyman Spitzer did to earn the title father of the space telescope?,"[2638, 2651]",,,1.0,['EntRel:nan'],[],[]
starshade.S53.Q1,starshade,2828,When was that?,"[2788, 2826]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S55.Q1,starshade,3008,What happened next after the moon blocks the sun?,"[2828, 2859]",Almost like I can see something at the back,"[3008.0, 3037.0]",4.0,['NoRel:nan'],[],['NoRel:nan']
starshade.S19.Q5,starshade,1226,Why would we care to see Earth again?,"[1197, 1224]",,,1.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],[]
starshade.S49.Q2,starshade,2788,What was first suggested by Lyman Spitzer?,"[2612, 2651]",,,1.0,['Implicit:Contingency.Cause.Reason'],[],[]
starshade.S54.Q2,starshade,2901,What does the corona have to do with Spitzer's suggestion?,"[2863, 2889]",,,1.0,['AltLex:Expansion.Equivalence'],['AltLex:Expansion.Equivalence'],[]
starshade.S56.Q2,starshade,3039,What does this have to do with Spitzer's suggestion?,"[2913, 2927]",,,2.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S58.Q2,starshade,3115,What does a shadow have to do with Spitzer's suggestion?,"[3067, 3095]","If a camera is placed in the shadow, you can see the corona.","[3139.0, 3160.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['AltLex:Hypophora', 'EntRel:nan']"
starshade.S96.Q1,starshade,5088,How does it fly out?,"[5020, 5039]",,,2.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],[]
starshade.S100.Q1,starshade,5212,How many planets orbiting?,"[5178, 5201]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S88.Q2,starshade,4693,How is it held right in the telescopes shadow?,"[4657, 4691]",It is wrapped around the hub and it separates from the telescope.,"[4888.0, 4941.0]",4.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']","['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']","['EntRel:nan', 'Implicit:Temporal.Asynchronous.Precedence']"
starshade.S90.Q2,starshade,4878,What exactly is the design that you have come up with?,"[4804, 4834]",The starshade is an object that is wrapped around a hub and separates from the telescope.,"[4888.0, 4941.0]",4.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Implicit:Temporal.Asynchronous.Precedence']"
starshade.S92.Q2,starshade,4943,How far does it separate from the telescope?,"[4910, 4941]","It separates and flies out 50,000 kilometers away from the telescope.","[5045.0, 5067.0]",5.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],['Explicit:Temporal.Asynchronous.Precedence']
starshade.S96.Q2,starshade,5088,How many petals are part of this starshade?,"[4943, 4960]",,,1.0,['Implicit:Temporal.Asynchronous.Precedence'],[],[]
starshade.S113.Q4,starshade,5791,What happens if they don't go to the same place?,"[5710, 5744]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S118.Q4,starshade,6014,What's the next step?,"[5988, 6012]",,,2.0,[],[],[]
starshade.S120.Q4,starshade,6139,How many more tests do you have to do?,"[6014, 6047]",,,1.0,['EntRel:nan'],[],[]
starshade.S122.Q4,starshade,6354,How do you plan to do this?,"[6198, 6231]",,,1.0,['Implicit:Contingency.Cause.Reason'],[],[]
starshade.S100.Q2,starshade,5212,Will a starshade be made all one size or will a starshade vary in size depending on what star to shadow?,"[5093, 5127]",,,1.0,['NoRel:nan'],[],[]
starshade.S100.Q3,starshade,5212,How long does it last?,"[5144, 5170]",,,1.0,['NoRel:nan'],[],[]
starshade.S81.Q2,starshade,4346,Is it expensive?,"[4198, 4237]",,,1.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[],[]
starshade.S86.Q2,starshade,4485,Is it clear?,"[4364, 4376]",,,1.0,['EntRel:nan'],[],[]
starshade.S88.Q3,starshade,4693,Is it modifiable? ,"[4562, 4591]",,,1.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']",[],[]
starshade.S126.Q4,starshade,6732,Do you expect to find an environment similar to Earth?,"[6697, 6730]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S128.Q4,starshade,6812,What if it doesn't work?,"[6778, 6810]",,,1.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],[]
starshade.S90.Q3,starshade,4878,Is it expensive?,"[4733, 4750]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S92.Q3,starshade,4943,Is it easily damaged?,"[4913, 4941]",,,1.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],[]
starshade.S96.Q3,starshade,5088,How do the petals unfurl?,"[4947, 4960]",,,2.0,['Implicit:Temporal.Asynchronous.Precedence'],[],[]
starshade.S124.Q4,starshade,6603,how are you going to get an occulter in front of it?,"[6412, 6431]",,,1.0,['EntRel:nan'],[],[]
starshade.S88.Q4,starshade,4693,Which planets can it see?,"[4596, 4632]",,,2.0,"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']","['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']",[]
starshade.S90.Q4,starshade,4878,What is the design?,"[4819, 4853]",It's wrapped around a hub,"[4888.0, 4908.0]",3.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S81.Q3,starshade,4346,Why control diffraction?,"[4318, 4344]",They're creating a shadow,"[4357.0, 4376.0]",4.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']","['EntRel:nan', 'Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']"
starshade.S86.Q3,starshade,4485,What planets?,"[4437, 4468]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S52.Q3,starshade,2788,What does a solar eclipse have to do with the new tech?,"[2764, 2786]",,,2.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],[]
starshade.S92.Q4,starshade,4943,What does it do next?,"[4910, 4941]",The petals unfurl turning around the telescope,"[4947.0, 5002.0]",5.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],"['Implicit:Temporal.Asynchronous.Precedence', 'Implicit:Expansion.Equivalence', 'Implicit:Temporal.Asynchronous.Precedence']"
starshade.S96.Q4,starshade,5088,What planets does it see?,"[5032, 5067]",,,2.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],[]
starshade.S100.Q4,starshade,5212,What planets are orbiting?,"[5178, 5210]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S65.Q1,starshade,3566,why block the light?,"[3403, 3433]",the light shines so they can't see through the lense.,"[3688.0, 3732.0]",5.0,['EntRel:nan'],[],"['EntRel:nan', 'Explicit:Contingency.Cause.Reason']"
starshade.S70.Q1,starshade,3676,Why does it not work?,"[3640, 3674]",all the light stops them from seeing ,"[3845.0, 3884.0]",5.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],['Explicit:Expansion.Conjunction']
starshade.S78.Q4,starshade,4239,"What do they mean by ""we can see a planet""?","[4063, 4082]",,,1.0,['EntRel:nan'],[],[]
starshade.S85.Q4,starshade,4378,Are they doing artwork with a flower?,"[4245, 4289]"," 50,000 kilometers away from the telescope ","[4610.0, 4651.0]",5.0,['EntRel:nan'],[],['Explicit:Expansion.Conjunction']
starshade.S87.Q4,starshade,4534,Are they talking about planets or flowers?,"[4437, 4464]"," 50,000 kilometers away from the telescope ","[4610.0, 4651.0]",3.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],['Explicit:Expansion.Conjunction']
starshade.S40.Q3,starshade,2203,What causes the light to diffract?,"[2163, 2201]",The telescope diffracts the light apparently.,"[2203.0, 2239.0]",4.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S42.Q3,starshade,2372,How do we fix the scattering light problem so we can see better?,"[2323, 2370]",,,2.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
starshade.S44.Q3,starshade,2544,What makes the colleagues' tech the coolest?,"[2515, 2542]",,,1.0,['Explicit:Expansion.Conjunction'],['Explicit:Expansion.Conjunction'],[]
starshade.S48.Q3,starshade,2742,What's the suggestion that Lyman Spitzer made?,"[2612, 2651]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S89.Q4,starshade,4728,What planets?,"[4713, 4726]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S91.Q4,starshade,4910,What hub?,"[4878, 4908]",,,1.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],[]
starshade.S93.Q5,starshade,5004,What petals?,"[4943, 4960]",,,1.0,['Explicit:Temporal.Asynchronous.Precedence'],[],[]
starshade.S99.Q5,starshade,5172,What creates the shadow?,"[5144, 5170]",Planets orbiting?,"[5185.0, 5210.0]",3.0,['AltLex:Contingency.Cause.Result'],['AltLex:Contingency.Cause.Result'],['AltLex:Contingency.Cause.Result']
starshade.S33.Q3,starshade,2070,How did we get so far away from earth?,"[1885, 1939]",,,1.0,['EntRel:nan'],[],[]
starshade.S38.Q3,starshade,2141,Why do we want to see inside the little red circle?,"[2113, 2139]",I believe but am not certain that the mission is to find interesting things to look at with the telescope.,"[2219.0, 2239.0]",3.0,"['Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']","['Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']","['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S81.Q4,starshade,4346,"What are you making that is a ""flower petal starshade""?","[4198, 4237]",I think what is being talked about is literally what it was originally called. A starshade. A big flower like shade to cover up brightness of a star so that a telescope can get better visions/view to what it is observing. ,"[4599.0, 4651.0]",4.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[],['Explicit:Expansion.Conjunction']
starshade.S86.Q4,starshade,4485,What exactly is being talked about?,"[4346, 4376]",Creating a piece to cover up brightness of a star so that a telescope can view what it is looking at without being blinded out by the stars light beaming.,"[4693.0, 4726.0]",4.0,['EntRel:nan'],[],"['Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']"
starshade.S72.Q1,starshade,3886,Do they have different ideas?,"[3845, 3884]",soften the edges so the can control it better,"[4003.0, 4051.0]",4.0,['EntRel:nan'],['EntRel:nan'],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan', 'Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Contingency.Cause.Result']"
starshade.S74.Q1,starshade,3936,Can they make a bigger shadow?,"[3886, 3908]",,,1.0,['Explicit:Comparison.Concession.Arg2-as-denier'],[],[]
starshade.S76.Q1,starshade,4084,Are they sure this will work?,"[4063, 4082]",they' came up with the best ways to do that,"[4115.0, 4151.0]",3.0,['Explicit:Expansion.Conjunction'],['Explicit:Expansion.Conjunction'],['Explicit:Expansion.Conjunction']
starshade.S108.Q4,starshade,5537,Why do the petals unfurl?,"[5507, 5535]",,,2.0,"['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']","['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']",[]
starshade.S112.Q4,starshade,5652,What is JPL?,"[5618, 5621]",,,1.0,['EntRel:nan'],[],[]
starshade.S84.Q1,starshade,4346,why does this work better?,"[4291, 4344]",it's a lot dimmer than before.,"[4389.0, 4412.0]",4.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",['EntRel:nan']
starshade.S106.Q4,starshade,5457,What is the purpose of a star shade?,"[5445, 5455]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S116.Q4,starshade,5791,Why such an exact placement?,"[5759, 5789]",It is precise space tech,"[5968.0, 6012.0]",4.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Comparison.Concession.Arg2-as-denier', 'Explicit:Contingency.Condition.Arg2-as-cond', 'Implicit:Expansion.Conjunction', 'Implicit:Expansion.Conjunction']"
starshade.S97.Q4,starshade,5212,What is it?,"[5009, 5035]",,,1.0,['NoRel:nan'],[],[]
starshade.S102.Q4,starshade,5262,What is the setting since the speaker is receiving applause?,"[5212, 5232]",,,1.0,['EntRel:nan'],[],[]
starshade.S104.Q4,starshade,5399,What type of test was conducted?,"[5334, 5359]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S16.Q2,starshade,1155,How difficult is it to turn around a space telescope?,"[1096, 1113]",,,1.0,[],[],[]
starshade.S20.Q2,starshade,1291,What will having a blurry picture help us with?,"[1186, 1224]",,,1.0,['AltLex:Temporal.Asynchronous.Precedence'],['AltLex:Temporal.Asynchronous.Precedence'],[]
starshade.S48.Q4,starshade,2742,What is this new tech suggested by Spitzer?,"[2612, 2634]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S32.Q1,starshade,1885,What is ten times further away? ,"[1861, 1883]",Alpha Centauri,"[1898.0, 1912.0]",5.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Contingency.Cause.Result']"
starshade.S36.Q1,starshade,2070,How far away is the planet now? ,"[2062, 2068]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S28.Q1,starshade,1689,What is ten times further away?,"[1665, 1687]",Oort Cloud,"[1712.0, 1722.0]",5.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Contingency.Cause.Result']"
starshade.S42.Q4,starshade,2372,What planet?,"[2307, 2321]",a new Earth-like planet in another solar system,"[2583.0, 2610.0]",3.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Explicit:Comparison.Concession.Arg2-as-denier', 'Explicit:Expansion.Conjunction']"
starshade.S44.Q4,starshade,2544,What is this new tech?,"[2490, 2514]",It's a technology inspired by an eclipse,"[2764.0, 2786.0]",3.0,['Explicit:Expansion.Conjunction'],[],['EntRel:nan']
starshade.S52.Q4,starshade,2788,What was inspired by Spitzer?,"[2749, 2762]",,,2.0,['Implicit:Contingency.Cause.Reason'],[],[]
starshade.S33.Q4,starshade,2070,What planet?,"[2044, 2068]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S38.Q4,starshade,2141,What red circle?,"[2094, 2111]",,,2.0,"['Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']",['Explicit:Contingency.Cause.Reason'],[]
starshade.S40.Q4,starshade,2203,where is this text going?,"[2141, 2161]",The narrative describes scientists working with a telescope,"[2208.0, 2239.0]",4.0,['Implicit:Expansion.Conjunction'],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S10.Q2,starshade,922,What was the purpose of the Voyager?,"[754, 785]",,,1.0,['Implicit:Comparison.Similarity'],['Implicit:Comparison.Similarity'],[]
starshade.S12.Q2,starshade,1012,Why do you just want a picture of another planet?,"[922, 965]",,,1.0,['Implicit:Expansion.Conjunction'],[],[]
starshade.S80.Q1,starshade,4198,Looks something like what?,"[4171, 4196]",flower petal,"[4215.0, 4237.0]",3.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S2.Q2,starshade,296,What does another planet need to be able to harbor life?,"[279, 294]",It needs to be an Earth-like planet.,"[572.0, 623.0]",3.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Explicit:Expansion.Conjunction']
starshade.S6.Q2,starshade,625,What makes these planets like Earth?,"[546, 589]",,,1.0,['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier'],[]
starshade.S8.Q2,starshade,695,How are planets detected indirectly?,"[658, 693]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S60.Q3,starshade,3279,IS the corona the light around the moon we see in the eclipse?,"[3239, 3277]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S64.Q3,starshade,3435,Does an eclipse cause heat from sun to go down?,"[3403, 3433]",,,2.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],[]
